County_Code,fitness_pct_HFZ_Economic_disadv,County
1,0.523148324,Alameda
3,,Alpine
5,0.587222039,Amador
7,0.584524263,Butte
9,0.585512032,Calaveras
11,0.599747991,Colusa
13,0.540862875,Contra Costa
15,0.601652869,Del Norte
17,0.508426193,El Dorado
19,0.543430526,Fresno
21,0.5663583,Glenn
23,0.491523299,Humboldt
25,0.545441115,Imperial
27,0.460276049,Inyo
29,0.577562511,Kern
31,0.550317411,Kings
33,0.518367911,Lake
35,0.567320865,Lassen
37,0.548448613,Los Angeles
39,0.547227339,Madera
41,0.596258935,Marin
43,0.548283828,Mariposa
45,0.520042513,Mendocino
47,0.540382226,Merced
49,0.515920635,Modoc
51,0.522534161,Mono
53,0.60660121,Monterey
55,0.587290979,Napa
57,0.6587354,Nevada
59,0.620229777,Orange
,0.620229777,
61,0.658269813,Placer
63,0.634562893,Plumas
65,0.574516078,Riverside
67,0.58997617,Sacramento
69,0.537757525,San Benito
71,0.543253206,San Bernardino
73,0.631719346,San Diego
75,0.601081151,San Francisco
77,0.529450117,San Joaquin
79,0.614964983,San Luis Obispo
81,0.576635958,San Mateo
83,0.614149076,Santa Barbara
85,0.616758376,Santa Clara
87,0.549232457,Santa Cruz
89,0.625703057,Shasta
91,0,Sierra
93,0.596091776,Siskiyou
95,0.492719501,Solano
97,0.566928751,Sonoma
99,0.535698844,Stanislaus
101,0.588972868,Sutter
103,0.552533812,Tehama
105,0.585090502,Trinity
107,0.555057397,Tulare
109,0.60075641,Tuolumne
111,0.577673653,Ventura
113,0.516295886,Yolo
115,0.517556464,Yuba