County_Code,fitness_pct_HFZ_NOT_economic_disadv,County
1,0.728351974,Alameda
3,,Alpine
5,0.702263566,Amador
7,0.716731242,Butte
9,0.691720263,Calaveras
11,0.698333982,Colusa
13,0.766083565,Contra Costa
15,0.68784466,Del Norte
17,0.581905388,El Dorado
19,0.673580367,Fresno
21,0.673220833,Glenn
23,0.588524147,Humboldt
25,0.608398218,Imperial
27,0.667957532,Inyo
29,0.680781698,Kern
31,0.660583959,Kings
33,0.574513782,Lake
35,0.648777251,Lassen
37,0.705151018,Los Angeles
39,0.50077996,Madera
41,0.809177895,Marin
43,0.754379679,Mariposa
45,0.614162783,Mendocino
47,0.55426367,Merced
49,0.587207547,Modoc
51,0.62442963,Mono
53,0.675316002,Monterey
55,0.728060294,Napa
57,0.716491371,Nevada
59,0.773366714,Orange
,0.773366714,
61,0.781088586,Placer
63,0.645875252,Plumas
65,0.671485362,Riverside
67,0.668846644,Sacramento
69,0.647600283,San Benito
71,0.666467379,San Bernardino
73,0.769383155,San Diego
75,0.703228646,San Francisco
77,0.641858812,San Joaquin
79,0.772656016,San Luis Obispo
81,0.768759268,San Mateo
83,0.729010568,Santa Barbara
85,0.800459746,Santa Clara
87,0.742730636,Santa Cruz
89,0.757086324,Shasta
91,0.596113636,Sierra
93,0.69387441,Siskiyou
95,0.648205385,Solano
97,0.727780899,Sonoma
99,0.63344631,Stanislaus
101,0.644811867,Sutter
103,0.368356311,Tehama
105,0.647871345,Trinity
107,0.639336562,Tulare
109,0.707898243,Tuolumne
111,0.696868608,Ventura
113,0.599768408,Yolo
115,0.566112228,Yuba