County_Code,fitness_pct_risk_disadv,County
1,0.445554936,Alameda
3,,Alpine
5,0.331786226,Amador
7,0.390766505,Butte
9,0.36234893,Calaveras
11,0.400252009,Colusa
13,0.449895797,Contra Costa
15,0.309022513,Del Norte
17,0.290685905,El Dorado
19,0.446182983,Fresno
21,0.367514845,Glenn
23,0.439418706,Humboldt
25,0.45028929,Imperial
27,0.495069012,Inyo
29,0.417389786,Kern
31,0.445305094,Kings
33,0.415826872,Lake
35,0.34539734,Lassen
37,0.442595266,Los Angeles
39,0.429477533,Madera
41,0.378029905,Marin
43,0.367557756,Mariposa
45,0.442702585,Mendocino
47,0.455130115,Merced
49,0.400746032,Modoc
51,0.297341615,Mono
53,0.38995628,Monterey
55,0.396201636,Napa
57,0.271186735,Nevada
59,0.374772558,Orange
,0.374772558,
61,0.308505196,Placer
63,0.365437107,Plumas
65,0.41877093,Riverside
67,0.40314924,Sacramento
69,0.452115893,San Benito
71,0.449439242,San Bernardino
73,0.359051121,San Diego
75,0.384506948,San Francisco
77,0.461855212,San Joaquin
79,0.362959961,San Luis Obispo
81,0.411236835,San Mateo
83,0.370574914,Santa Barbara
85,0.36790988,Santa Clara
87,0.402086414,Santa Cruz
89,0.341030999,Shasta
91,0,Sierra
93,0.32275354,Siskiyou
95,0.488417776,Solano
97,0.414109483,Sonoma
99,0.455122682,Stanislaus
101,0.377579274,Sutter
103,0.393127469,Tehama
105,0.414909498,Trinity
107,0.435509162,Tulare
109,0.326982517,Tuolumne
111,0.413966741,Ventura
113,0.433577532,Yolo
115,0.451836675,Yuba