County_Code,fitness_pct_Risk_NOT_economic_disadv,County
1,0.235935352,Alameda
3,,Alpine
5,0.265178295,Amador
7,0.255370646,Butte
9,0.295685278,Calaveras
11,0.278319715,Colusa
13,0.229793001,Contra Costa
15,0.29597411,Del Norte
17,0.132655228,El Dorado
19,0.310274086,Fresno
21,0.296223611,Glenn
23,0.332375104,Humboldt
25,0.336982375,Imperial
27,0.288773237,Inyo
29,0.311377155,Kern
31,0.330869032,Kings
33,0.265618523,Lake
35,0.296720379,Lassen
37,0.268206508,Los Angeles
39,0.267905256,Madera
41,0.180848565,Marin
43,0.192144385,Mariposa
45,0.270597922,Mendocino
47,0.39644794,Merced
49,0.205245283,Modoc
51,0.212607407,Mono
53,0.303019793,Monterey
55,0.270225175,Napa
57,0.251334073,Nevada
59,0.198099939,Orange
,0.198099939,
61,0.209973339,Placer
63,0.271629779,Plumas
65,0.319387676,Riverside
67,0.269544326,Sacramento
69,0.351125832,San Benito
71,0.304502373,San Bernardino
73,0.210425792,San Diego
75,0.262827389,San Francisco
77,0.333482793,San Joaquin
79,0.212473796,San Luis Obispo
81,0.220643191,San Mateo
83,0.258415547,Santa Barbara
85,0.193922661,Santa Clara
87,0.237470823,Santa Cruz
89,0.231833802,Shasta
91,0.358431818,Sierra
93,0.25796695,Siskiyou
95,0.342883871,Solano
97,0.252066557,Sonoma
99,0.35279055,Stanislaus
101,0.25568766,Sutter
103,0.160442708,Tehama
105,0.264409357,Trinity
107,0.33213408,Tulare
109,0.23618916,Tuolumne
111,0.221579702,Ventura
113,0.386637709,Yolo
115,0.366048576,Yuba