,County_Code,County_Name,academic_wght_avg_score_All,academic_wght_avg_score_Economic_disadv,academic_wght_avg_score_NOT_economic_disadv,fitness_pct_Healthy_All,fitness_pct_Healthy_Economic_disadv,fitness_pct_Healthy_NOT_economic_disadv,fitness_pct_Unhealthy_All,fitness_pct_Unhealthy_Economic_disadv,fitness_pct_Unhealthy_NOT_economic_disadv
0,1,Alameda,355.2713259,325.4520966,384.8761374,0.653630482,0.532794529,0.750079867,0.344524323,0.462387317,0.241550061
1,3,Alpine,,,,,,,,,
2,5,Amador,269.8333965,188.1503115,332.9667408,0.670317634,0.591973244,0.705992509,0.296823658,0.337792642,0.267790262
3,7,Butte,345.1736636,334.4879114,353.3906335,0.6586523,0.594369688,0.7429451,0.325426182,0.379072238,0.230374551
4,9,Calaveras,355.5578672,337.6738492,366.4806852,0.641666667,0.604538088,0.683206107,0.34384058,0.367909238,0.311704835
5,11,Colusa,339.3378035,330.3904924,358.9362485,0.633081897,0.586614173,0.699519231,0.366918103,0.413385827,0.290865385
6,13,Contra Costa,356.6238357,322.4369823,380.0180059,0.677671439,0.53880845,0.769714598,0.320210713,0.450114724,0.226009348
7,15,Del Norte,325.3290994,328.8204174,346.3473684,0.644787645,0.614699332,0.666666667,0.311454311,0.316258352,0.291666667
8,17,El Dorado,370.7132327,317.6495785,385.8505223,0.765061224,0.657441016,0.822083766,0.226612245,0.310798548,0.17549325
9,19,Fresno,334.871129,319.9584847,361.6737817,0.583180271,0.560031449,0.679901051,0.412416941,0.433447415,0.30253556
10,21,Glenn,316.4269299,304.7407823,295.2636598,0.601430976,0.556565657,0.646,0.341329966,0.364646465,0.314
11,23,Humboldt,330.7673374,326.6457376,338.9583294,0.5625,0.524280576,0.587587588,0.424528302,0.441546763,0.352352352
12,25,Imperial,330.3716994,323.6115229,342.063336,0.570328542,0.548344661,0.629614438,0.426249144,0.448805087,0.356439705
13,27,Inyo,326.0945264,302.1120104,351.0606808,0.53203125,0.448553055,0.670673077,0.40703125,0.432475884,0.286057692
14,29,Kern,336.6717098,322.0263442,358.7724062,0.607439745,0.576995042,0.683644107,0.389763162,0.418233698,0.311406538
15,31,Kings,323.2823089,313.9666911,353.2336808,0.590472984,0.551877785,0.665865385,0.402962464,0.436028008,0.322115385
16,33,Lake,327.2809703,310.8176643,323.4958226,0.581770833,0.542997543,0.671503958,0.393229167,0.428337428,0.323218997
17,35,Lassen,347.6758852,322.9996204,306.943686,0.634078212,0.575197889,0.649635036,0.331284916,0.345646438,0.274939173
18,37,Los Angeles,339.5438708,326.6989531,364.5001683,0.606945711,0.557700615,0.728815482,0.39042504,0.438347208,0.263052734
19,39,Madera,330.7054631,314.7081645,321.054705,0.572987851,0.541531997,0.600414079,0.400816249,0.433257919,0.308488613
20,41,Marin,374.8171105,317.9145772,387.2279917,0.758725021,0.601101928,0.805093422,0.233253589,0.380165289,0.185436396
21,43,Mariposa,283.5159664,327.21,327.1988796,0.673076923,0.603703704,0.755102041,0.285897436,0.381481481,0.163265306
22,45,Mendocino,322.7237263,308.6136636,287.5468047,0.562038405,0.525587828,0.604819277,0.414697194,0.43637621,0.25060241
23,47,Merced,323.7726687,320.8988163,346.6092728,0.558627304,0.542219388,0.57370283,0.438370445,0.45369898,0.407429245
24,49,Modoc,342.7875568,305.3332978,194.635461,0.54526749,0.510416667,0.601449275,0.306584362,0.392361111,0.210144928
25,51,Mono,349.2452229,246.2946108,290.4981481,0.573770492,0.477707006,0.577777778,0.327868852,0.363057325,0.3
26,53,Monterey,336.0415251,322.662603,360.9973658,0.636401184,0.620378928,0.692766296,0.360432298,0.37754159,0.303656598
27,55,Napa,343.9090094,327.6080474,368.0416804,0.660029191,0.585143354,0.733722359,0.334758132,0.398349262,0.258292383
28,57,Nevada,359.5087772,311.3197271,373.2390378,0.728326379,0.695710456,0.739004149,0.262401484,0.261394102,0.245228216
29,59,Orange,360.6658611,336.1178894,393.2010657,0.70963558,0.623230036,0.795958369,0.289720379,0.375482718,0.200537728
30,,Placer,378.2883204,339.8821545,382.1265987,0.76076476,0.667650531,0.798553583,0.231838595,0.309031877,0.196581197
31,61,Plumas,368.7002964,352.9245352,377.9487379,0.650641026,0.611486486,0.559210526,0.323717949,0.307432432,0.203947368
32,63,Riverside,337.0523478,325.246895,363.7384476,0.620661347,0.5765817,0.680480492,0.376927493,0.419956981,0.31296735
33,65,Sacramento,347.9131345,332.4454807,367.0725019,0.641547297,0.594157985,0.710265236,0.355769657,0.399468108,0.281433489
34,67,San Benito,329.2670796,314.4133546,359.6134254,0.588428396,0.544155844,0.644692737,0.40172343,0.44025974,0.355307263
35,69,San Bernardino,336.1344059,322.4429569,359.7187517,0.589042115,0.549843714,0.690394889,0.408093159,0.446044599,0.299691579
36,71,San Diego,354.4806721,331.3385194,375.2982482,0.707272249,0.630743729,0.770487257,0.288574409,0.362115732,0.22041654
37,73,San Francisco,353.1395823,341.7729015,371.4488953,0.646652334,0.611130435,0.711002261,0.347307535,0.376695652,0.256593821
38,75,San Joaquin,334.3457076,321.6849825,357.4480666,0.578091801,0.529206191,0.636567056,0.42049172,0.466924613,0.348419229
39,77,San Luis Obispo,357.2057048,326.1686186,376.0270722,0.712381204,0.6185487,0.78108983,0.280887012,0.370974001,0.210817373
40,79,San Mateo,357.5573824,326.4817372,379.664724,0.701174592,0.578866925,0.760259295,0.29769203,0.41909517,0.234061931
41,81,Santa Barbara,336.672626,314.8662481,365.4180869,0.665539338,0.613441447,0.739629716,0.328337487,0.367690628,0.251933443
42,83,Santa Clara,366.7715461,325.6055919,391.9752144,0.732764966,0.619616447,0.805578671,0.266236156,0.373449266,0.191316733
43,85,Santa Cruz,351.2210993,323.4362071,371.9552226,0.654095096,0.574074074,0.747803807,0.341175006,0.400673401,0.241581259
44,87,Shasta,356.5648432,335.5636843,374.2739749,0.701607328,0.625352113,0.759312321,0.282665054,0.3342723,0.226361032
45,89,Sierra,298.8803596,319.6769231,351.5333333,0.532467532,0,0.630952381,0.350649351,0,0.369047619
46,91,Siskiyou,348.375023,312.1988457,331.4639391,0.673045603,0.612542955,0.651558074,0.316368078,0.332474227,0.23796034
47,93,Solano,292.2568274,270.9205473,354.1859472,0.57784296,0.500257422,0.651211556,0.416817088,0.48687146,0.342730662
48,95,Sonoma,342.798051,302.8640012,361.7887248,0.661018748,0.565571103,0.737666034,0.331269897,0.415229418,0.24772296
49,97,Stanislaus,336.4409442,322.9494103,355.8690643,0.576163048,0.541405501,0.633152533,0.420646876,0.451294152,0.356528641
50,99,Sutter,332.0318705,316.8259897,342.5326075,0.638316338,0.605320069,0.677544248,0.354523758,0.382136678,0.287057522
51,101,Tehama,328.9145344,324.6429262,331.7668203,0.596704484,0.576923077,0.772727273,0.395732037,0.414861837,0.136363636
52,103,Trinity,318.5745645,304.2685499,295.1733333,0.612012987,0.569892473,0.649122807,0.358766234,0.397849462,0.263157895
53,105,Tulare,328.7570802,329.18777,349.3317711,0.582097762,0.555507062,0.645537125,0.412401951,0.438700206,0.338665087
54,107,Tuolumne,334.1528563,295.2287698,339.3597701,0.639097744,0.557586837,0.707889126,0.302422723,0.329067642,0.232409382
55,109,Ventura,353.3061935,325.2562974,374.3535034,0.672058971,0.574798619,0.75564956,0.324238685,0.417222862,0.236669264
56,111,Yolo,343.1293399,323.8452311,371.2007613,0.572005384,0.533242507,0.610359035,0.419470615,0.441689373,0.388463802
57,113,Yuba,321.0277534,305.9607399,335.8513826,0.558474576,0.524023062,0.546712803,0.424576271,0.456758488,0.401384083
,115,,,,,,,,,,